Original Extrapolated Smoother  Refactored Extrapolated Smoother
1.0026767317e+00  1.0026767317e+00,
1.0000000000e+00  1.0000000000e+00,
1.0025707920e+00  1.0025707920e+00,
1.0000000000e+00  1.0000000000e+00,
1.0022502955e+00  1.0022502955e+00,
1.0000000000e+00  1.0000000000e+00,
1.0015979826e+00  1.0015979826e+00,
1.0000000000e+00  1.0000000000e+00,
1.0005876401e+00  1.0005876401e+00,
1.0000000000e+00  1.0000000000e+00,
9.9941235987e-01  9.9941235987e-01,
1.0000000000e+00  1.0000000000e+00,
9.9840201737e-01  9.9840201737e-01,
1.0000000000e+00  1.0000000000e+00,
9.9774970455e-01  9.9774970455e-01,
1.0000000000e+00  1.0000000000e+00,
9.9742920795e-01  9.9742920795e-01,
1.0000000000e+00  1.0000000000e+00,
9.9732326832e-01  9.9732326832e-01,
1.0000000000e+00  1.0000000000e+00,
9.9732720683e-01  9.9732720683e-01,
1.0000000000e+00  1.0000000000e+00,
9.9737362379e-01  9.9737362379e-01,
1.0000000000e+00  1.0000000000e+00,
9.9742508952e-01  9.9742508952e-01,
1.0000000000e+00  1.0000000000e+00,
9.9746406188e-01  9.9746406188e-01,
1.0000000000e+00  1.0000000000e+00,
9.9748705362e-01  9.9748705362e-01,
1.0000000000e+00  1.0000000000e+00,
9.9750346359e-01  9.9750346359e-01,
1.0000000000e+00  1.0000000000e+00,
9.9753959987e-01  9.9753959987e-01,
1.0000000000e+00  1.0000000000e+00,
9.9764938530e-01  9.9764938530e-01,
1.0000000000e+00  1.0000000000e+00,
9.9792887375e-01  9.9792887375e-01,
1.0000000000e+00  1.0000000000e+00,
9.9850711623e-01  9.9850711623e-01,
1.0000000000e+00  1.0000000000e+00,
9.9944375508e-01  9.9944375508e-01,
1.0000000000e+00  1.0000000000e+00,
1.0021980045e+00  1.0021980045e+00,
1.0039446549e+00  1.0039446549e+00,
1.0067602843e+00  1.0067602843e+00,
1.0085834292e+00  1.0085834292e+00,
1.0120657601e+00  1.0120657601e+00,
1.0146445093e+00  1.0146445093e+00,
1.0189697978e+00  1.0189697978e+00,
1.0227593077e+00  1.0227593077e+00,
1.0280162660e+00  1.0280162660e+00,
1.0329117941e+00  1.0329117941e+00,
1.0386556914e+00  1.0386556914e+00,
1.0437711372e+00  1.0437711372e+00,
1.0488487993e+00  1.0488487993e+00,
1.0527038877e+00  1.0527038877e+00,
1.0556664800e+00  1.0556664800e+00,
1.0568827915e+00  1.0568827915e+00,
1.0567980475e+00  1.0567980475e+00,
1.0548858014e+00  1.0548858014e+00,
1.0519323300e+00  1.0519323300e+00,
1.0475489395e+00  1.0475489395e+00,
1.0428993671e+00  1.0428993671e+00,
1.0373741223e+00  1.0373741223e+00,
1.0324783817e+00  1.0324783817e+00,
1.0270239010e+00  1.0270239010e+00,
1.0228749552e+00  1.0228749552e+00,
1.0181055045e+00  1.0181055045e+00,
1.0149551161e+00  1.0149551161e+00,
1.0109538707e+00  1.0109538707e+00,
1.0084717478e+00  1.0084717478e+00,
1.0051391733e+00  1.0051391733e+00,
1.0027545361e+00  1.0027545361e+00,
1.0000000000e+00  1.0000000000e+00,
9.9724546388e-01  9.9724546388e-01,
9.9486082666e-01  9.9486082666e-01,
9.9152825218e-01  9.9152825218e-01,
9.8904612932e-01  9.8904612932e-01,
9.8504488387e-01  9.8504488387e-01,
9.8189449554e-01  9.8189449554e-01,
9.7712504485e-01  9.7712504485e-01,
9.7297609898e-01  9.7297609898e-01,
9.6752161830e-01  9.6752161830e-01,
9.6262587772e-01  9.6262587772e-01,
9.5710063288e-01  9.5710063288e-01,
9.5245106047e-01  9.5245106047e-01,
9.4806766997e-01  9.4806766997e-01,
9.4511419857e-01  9.4511419857e-01,
9.4320195246e-01  9.4320195246e-01,
9.4311720846e-01  9.4311720846e-01,
9.4433351996e-01  9.4433351996e-01,
9.4729611232e-01  9.4729611232e-01,
9.5115120072e-01  9.5115120072e-01,
9.5622886282e-01  9.5622886282e-01,
9.6134430860e-01  9.6134430860e-01,
9.6708820586e-01  9.6708820586e-01,
9.7198373404e-01  9.7198373404e-01,
9.7724069234e-01  9.7724069234e-01,
9.8103020222e-01  9.8103020222e-01,
9.8535549068e-01  9.8535549068e-01,
9.8793423986e-01  9.8793423986e-01,
9.9141657083e-01  9.9141657083e-01,
9.9323971568e-01  9.9323971568e-01,
9.9605534509e-01  9.9605534509e-01,
9.9780199551e-01  9.9780199551e-01,
1.0000000000e+00  1.0000000000e+00,
1.0009392667e+00  1.0009392667e+00,
1.0000000000e+00  1.0000000000e+00,
1.0026640240e+00  1.0026640240e+00,
1.0000000000e+00  1.0000000000e+00,
1.0040131738e+00  1.0040131738e+00,
1.0000000000e+00  1.0000000000e+00,
1.0049321518e+00  1.0049321518e+00,
1.0000000000e+00  1.0000000000e+00,
1.0054874007e+00  1.0054874007e+00,
1.0000000000e+00  1.0000000000e+00,
1.0057929018e+00  1.0057929018e+00,
1.0000000000e+00  1.0000000000e+00,
1.0059630004e+00  1.0059630004e+00,
1.0000000000e+00  1.0000000000e+00,
1.0060857104e+00  1.0060857104e+00,
1.0000000000e+00  1.0000000000e+00,
1.0062045186e+00  1.0062045186e+00,
1.0000000000e+00  1.0000000000e+00,
1.0063059163e+00  1.0063059163e+00,
1.0000000000e+00  1.0000000000e+00,
1.0063157936e+00  1.0063157936e+00,
1.0000000000e+00  1.0000000000e+00,
1.0061102558e+00  1.0061102558e+00,
1.0000000000e+00  1.0000000000e+00,
1.0055456419e+00  1.0055456419e+00,
1.0000000000e+00  1.0000000000e+00,
1.0045074968e+00  1.0045074968e+00,
1.0000000000e+00  1.0000000000e+00,
1.0029693842e+00  1.0029693842e+00,
1.0000000000e+00  1.0000000000e+00,
1.0010397079e+00  1.0010397079e+00,
1.0000000000e+00  1.0000000000e+00,
